zoo,scientificName,commonName,givenName,gender,dateOfBirth,age,isTransportable
Changyuan,Conolophus subcristatus,Land iguana,Manatee,Female,8/27/2023,23,false
Parnaíba,Larus dominicanus,Kelp gull,Cheetah,Female,8/23/2022,3,false
Beruniy,Cygnus buccinator,Trumpeter swan,Sun gazer,Female,3/29/2023,20,true
New Leyte,Cacatua tenuirostris,Long-billed cockatoo,"Owl, white-browed",Male,9/16/2023,10,true
Cihideung Satu,Cordylus giganteus,Sun gazer,Sidewinder,Female,2/28/2023,18,true
Uryupinsk,Cebus albifrons,White-fronted capuchin,"Otter, oriental short-clawed",Female,11/5/2023,9,true
Yuchi,Sylvicapra grimma,Common duiker,"Sheep, stone",Female,5/22/2023,12,true
Ares Tengah,Gyps bengalensis,Bengal vulture,Nelson ground squirrel,Male,12/25/2023,9,true
Ruma,Naja haje,"Viper, egyptian",Australian brush turkey,Female,9/25/2023,22,true
Jinhua,Stercorarius longicausus,Long-tailed skua,"Butterfly, tropical buckeye",Female,1/3/2023,23,true
Glasgow,Cyrtodactylus louisiadensis,Bent-toed gecko,Pale-throated three-toed sloth,Female,3/15/2024,24,false
Mingyu,Papio cynocephalus,Savanna baboon,Painted stork,Male,3/1/2024,23,false
Sobotka,Callipepla gambelii,"Quail, gambel's","Crane, sandhill",Female,8/3/2023,25,false
Bagakay,Ovis canadensis,American bighorn sheep,Striated heron,Female,2/14/2023,26,true
Ferapontovo,Canis latrans,Coyote,Baleen whale,Female,1/16/2024,23,false
Mascote,Haematopus ater,"Oystercatcher, blackish",Red-capped cardinal,Female,8/19/2022,25,false
Zhongxiang,Macropus parryi,"Wallaby, whip-tailed",White-lipped peccary,Female,8/1/2022,16,false
Chayuan,Lorythaixoides concolor,Bare-faced go away bird,Meerkat,Male,12/19/2023,23,false
Ostrowite,Phylurus milli,Barking gecko,Topi,Male,1/16/2024,25,true
Chetian,Phalaropus lobatus,"Phalarope, red-necked","Bat, asian false vampire",Female,3/9/2023,20,true
Tiecun,Pelecanus occidentalis,"Pelican, brown","Godwit, hudsonian",Genderqueer,1/29/2024,8,true
Cassilândia,Oreamnos americanus,"Goat, mountain",Great horned owl,Female,2/10/2023,29,false
Guacamaya,Libellula quadrimaculata,Four-spotted skimmer,Bee-eater (unidentified),Female,8/31/2022,3,true
Mendeleyevsk,Pseudocheirus peregrinus,Common ringtail,Magistrate black colobus,Female,2/26/2023,2,false
Santa Maria,Connochaetus taurinus,Brindled gnu,"Sloth, hoffman's",Male,7/1/2022,4,true
Chunxi,Alcelaphus buselaphus cokii,"Hartebeest, coke's","Bird, magnificent frigate",Female,9/4/2023,19,true
Tulcán,Naja sp.,Cobra (unidentified),North American porcupine,Female,10/23/2022,26,true
Mabay,Eumetopias jubatus,"Lion, steller's sea",Ringtail cat,Female,9/1/2023,4,false
Polanka Wielka,Carduelis pinus,"Siskin, pine",Hawk-headed parrot,Female,2/21/2023,29,false
Notre-Dame-des-Prairies,Raphicerus campestris,Steenbuck,African wild cat,Male,3/5/2024,21,false
Caba,Thylogale stigmatica,"Pademelon, red-legged","Gonolek, burchell's",Male,11/4/2023,7,true
Cikijing,Bison bison,American bison,Mountain lion,Female,5/30/2023,25,true
Shiqiaotou,Anhinga rufa,"Darter, african","Kangaroo, eastern grey",Male,12/24/2023,7,true
Kebunan,Tadorna tadorna,Common shelduck,"Robin, kalahari scrub",Male,9/2/2022,28,false
Kudang,Ara ararauna,Blue and gold macaw,"Jacana, african",Female,2/22/2023,28,true
Górki Wielkie,Ovis ammon,Red sheep,"Hawk, ferruginous",Male,10/29/2023,19,true
Ulster Spring,Boa constrictor mexicana,Mexican boa,Little grebe,Non-binary,11/18/2023,26,false
Sabi,Chlamydosaurus kingii,"Lizard, frilled","Ibis, sacred",Female,8/2/2023,21,false
Guarujá,Chlidonias leucopterus,White-winged black tern,Levaillant's barbet,Male,10/30/2023,4,false
Paris 04,Tamiasciurus hudsonicus,"Squirrel, pine","Flamingo, chilean",Male,6/22/2022,4,false
Shchëkino,Grus canadensis,Sandhill crane,Tammar wallaby,Genderfluid,1/5/2024,21,false
Santa Monica,Galictis vittata,Grison,Indian leopard,Female,3/24/2023,23,false
Spirovo,Odocoilenaus virginianus,"Deer, white-tailed",Sandhill crane,Male,8/28/2023,4,false
Conceição do Jacuípe,Alopex lagopus,Blue fox,Native cat,Female,1/25/2024,28,true
Independencia,Ninox superciliaris,"Owl, madagascar hawk","Lynx, african",Male,2/20/2023,9,false
Oklahoma City,Tachybaptus ruficollis,Dabchick,Hudsonian godwit,Male,9/9/2022,2,true
Khairpur,Limosa haemastica,Hudsonian godwit,"Deer, mule",Female,2/26/2024,2,false
Montaneza,Stercorarius longicausus,Long-tailed jaeger,"Mongoose, small indian",Male,8/13/2023,8,false
Urazovka,Gyps bengalensis,"Vulture, oriental white-backed","Brocket, red",Male,8/8/2022,23,true
Calumpang,Pteropus rufus,"Bat, madagascar fruit",Hanuman langur,Non-binary,11/5/2022,15,false
Kendayakan,Sitta canadensis,Red-breasted nuthatch,Reindeer,Female,8/31/2023,1,true
Bayt Maqdūm,Cochlearius cochlearius,"Heron, boat-billed",Common brushtail possum,Non-binary,1/7/2024,1,false
Pasireurih,Tamiasciurus hudsonicus,"Squirrel, pine",White-winged tern,Female,10/31/2022,17,true
Yaizu,Branta canadensis,"Goose, canada",Giraffe,Male,7/29/2022,2,true
Fubei,Gyps fulvus,Griffon vulture,Chilean flamingo,Male,3/27/2024,17,true
Bojongloa,Bettongia penicillata,"Kangaroo, brush-tailed rat","Legaan, water",Female,11/9/2023,21,false
San Buenaventura,Bubo virginianus,Great horned owl,"Grenadier, purple",Male,11/30/2023,23,true
Banjar Madangan Kaja,Ursus arctos,Grizzly bear,River wallaby,Male,2/16/2024,18,true
Kankan,Lutra canadensis,"Otter, north american river","Fox, savanna",Female,1/19/2024,28,true
Pucacaca,Graspus graspus,"Crab, red lava","Stilt, black-winged",Female,8/6/2023,30,false
Shalkar,Ateles paniscus,"Monkey, black spider","Egret, cattle",Genderqueer,1/18/2023,1,false
Tari,Anas punctata,"Teal, hottentot",Bonnet macaque,Male,5/4/2023,17,true
Xinchengzi,Microcebus murinus,"Lemur, grey mouse",Common ringtail,Male,8/6/2022,10,false
Fylí,Ursus arctos,Grizzly bear,"Badger, european",Female,2/5/2024,11,false
Nggalak,Trachyphonus vaillantii,Levaillant's barbet,Bontebok,Female,6/6/2023,27,false
Werota,Nesomimus trifasciatus,Galapagos mockingbird,Brown capuchin,Male,4/29/2023,12,true
Rislane,Rhea americana,Gray rhea,"Magpie, black-backed",Non-binary,7/18/2023,23,true
Lanshan,Myiarchus tuberculifer,"Flycatcher, tyrant",Canadian river otter,Agender,10/3/2023,12,true
Khūgyāṉī,Zenaida asiatica,"Dove, white-winged",Sugar glider,Male,7/17/2022,20,false
Tshela,Macropus rufogriseus,"Wallaby, bennett's",Southern elephant seal,Agender,2/9/2024,30,false
Huiqi,Amazona sp.,Amazon parrot (unidentified),"Dove, mourning collared",Male,10/31/2022,30,true
Kuala Lumpur,Eubalaena australis,Southern right whale,"Bunting, crested",Female,11/10/2023,21,true
Taiyangling,Otocyon megalotis,"Fox, bat-eared","Bat, little brown",Male,9/27/2022,19,false
Navotas,Corvus brachyrhynchos,"Crow, american",Silver gull,Male,8/18/2022,12,false
Umbuldamar,Oxybelis fulgidus,"Snake, green vine",Kalahari scrub robin,Polygender,4/4/2024,11,false
Meget,Chlidonias leucopterus,White-winged black tern,Llama,Female,1/30/2023,3,false
Roshchino,Zonotrichia capensis,"Sparrow, rufous-collared","Dolphin, striped",Male,7/8/2022,11,true
Masons Bay,unavailable,Caracara (unidentified),Four-horned antelope,Female,12/13/2022,16,false
Xilong,Genetta genetta,"Genet, small-spotted","Porcupine, tree",Female,4/5/2024,28,false
Benger,Merops nubicus,Carmine bee-eater,"Lemming, collared",Female,7/17/2023,6,true
Bisert’,Taxidea taxus,American badger,King cormorant,Female,2/2/2023,19,true
Mae Wang,Felis silvestris lybica,"Cat, kaffir",Chilean flamingo,Male,2/13/2023,20,true
Noginsk-9,Centrocercus urophasianus,"Grouse, sage","Bustard, denham's",Female,2/2/2023,20,true
Lubbock,Pavo cristatus,"Peacock, blue",White-throated robin,Male,5/26/2023,9,true
Reshetylivka,Anser anser,"Goose, greylag",Egyptian viper,Female,12/7/2023,5,true
Yanino Vtoroye,Choloepus hoffmani,"Sloth, two-toed","Sheep, american bighorn",Male,4/6/2024,22,false
Chotepe,Gyps fulvus,Griffon vulture,Hoffman's sloth,Male,1/5/2023,25,false
Novonikol’sk,Kobus defassa,Common waterbuck,Giraffe,Female,1/24/2023,29,false
Vostochnyy,Papio cynocephalus,Savanna baboon,Oribi,Female,1/13/2024,17,true
Tegalsari,Pitangus sulphuratus,Great kiskadee,"Gull, swallow-tail",Female,2/14/2024,20,true
Jasaan,Bucephala clangula,Common goldeneye,"Bleu, red-cheeked cordon",Female,12/31/2022,26,true
Immātīn,Butorides striatus,"Heron, green",Greater flamingo,Polygender,11/5/2022,13,false
Aleg,Spizaetus coronatus,"Hawk-eagle, crowned","Hartebeest, coke's",Male,3/5/2024,9,true
Salamanca,Ardea golieth,Goliath heron,White-throated monitor,Female,11/12/2022,29,true
Mahalapye,Microcavia australis,Cuis,"Porcupine, north american",Female,9/17/2023,24,false
Helsingborg,Parus atricapillus,Black-capped chickadee,Boat-billed heron,Female,11/19/2023,23,false
Jitan,Carphophis sp.,Worm snake (unidentified),Ground legaan,Female,9/19/2023,15,true
Jiguan,Sus scrofa,Wild boar,Impala,Genderfluid,8/14/2022,30,true
Huilong,Columba livia,Feral rock pigeon,"Swan, trumpeter",Female,1/14/2023,14,true
Beaufort West,Bucorvus leadbeateri,"Hornbill, southern ground","Stork, black-necked",Female,5/19/2023,20,true
New York City,Dicrostonyx groenlandicus,Arctic lemming,Lesser mouse lemur,Female,1/28/2023,12,true
San Antonio,Eudromia elegans,"Tinamou, elegant crested","Marmot, yellow-bellied",Female,6/17/2023,6,false
Werinama,Varanus sp.,Ground legaan,"Civet, small-toothed palm",Male,4/22/2023,14,true
Borodinskiy,Bubo virginianus,"Owl, great horned","Armadillo, nine-banded",Bigender,9/23/2023,26,true
Kalloní,Meleagris gallopavo,Wild turkey,Flightless cormorant,Male,10/15/2023,25,true
Ampeleíes,Panthera leo,African lion,Columbian rainbow boa,Male,12/1/2022,13,true
Lexington,Mungos mungo,Banded mongoose,Frilled lizard,Female,1/21/2023,5,true
Yinjiacheng,Meleagris gallopavo,Wild turkey,"Dove, mourning collared",Female,1/14/2024,3,true
Chernomorskiy,Casmerodius albus,"Egret, great",Burmese black mountain tortoise,Female,12/3/2023,29,false
Nanshi,Zosterops pallidus,Pale white-eye,Red-tailed cockatoo,Female,11/6/2023,29,false
Brisbane,Sciurus vulgaris,European red squirrel,Superb starling,Male,8/29/2023,30,false
Karangsembung,Redunca redunca,Bohor reedbuck,Carmine bee-eater,Female,9/25/2022,24,false
Mantang,Lamprotornis chalybaeus,"Starling, greater blue-eared",Antelope ground squirrel,Male,1/3/2024,17,true
Pokrov,Lutra canadensis,Canadian river otter,"Francolin, coqui",Female,12/7/2023,14,false
Comillas Norte,Cyrtodactylus louisiadensis,"Gecko, bent-toed","Legaan, ground",Male,5/10/2023,23,false
Fada,Vulpes chama,"Fox, silver-backed",Klipspringer,Female,12/28/2023,21,false
Cibeureum,Ninox superciliaris,"Owl, white-browed","Lion, steller sea",Female,8/1/2022,10,true
Fox Creek,Aonyx capensis,Cape clawless otter,Netted rock dragon,Male,12/16/2023,18,true
Fresno,unavailable,Caracara (unidentified),Galapagos albatross,Female,5/24/2023,28,false
Pasar,Hydrochoerus hydrochaeris,Capybara,"Jackal, silver-backed",Male,11/15/2022,21,false
Malitubog,Potamochoerus porcus,Bushpig,"Vulture, griffon",Female,11/9/2023,27,true
Paraty,Nasua nasua,"Coatimundi, ring-tailed",Southern ground hornbill,Female,6/19/2022,9,false
Municipio de Copacabana,Dendrocitta vagabunda,Rufous tree pie,Pacific gull,Genderfluid,3/13/2023,21,false
Paujiles,Varanus salvator,"Monitor, water",Grey phalarope,Female,2/21/2023,14,true
Hang Dong,Amphibolurus barbatus,Western bearded dragon,Caracara (unidentified),Male,10/30/2023,20,true
Ochojno,Capra ibex,Ibex,"Albatross, waved",Male,8/18/2022,16,true
Jiaoxiyakou,Sula dactylatra,"Booby, blue-faced",Black and white colobus,Female,7/27/2022,12,false
Georgetown,Papilio canadensis,Canadian tiger swallowtail butterfly,Land iguana,Female,3/10/2023,29,false
Dajianchang,Choloepus hoffmani,Hoffman's sloth,Emu,Female,2/1/2024,21,false
Formosa,Macaca mulatta,Rhesus macaque,"Turtle, snake-necked",Male,9/19/2023,23,false
A dos Cunhados,Gymnorhina tibicen,Australian magpie,Egyptian cobra,Male,2/21/2023,6,true
Tayasan,Paradoxurus hermaphroditus,"Cat, toddy","Sheep, stone",Male,1/1/2024,12,false
Norrköping,Spheniscus magellanicus,Magellanic penguin,Madagascar hawk owl,Female,7/6/2023,9,false
Al Misrākh,Alcelaphus buselaphus caama,Red hartebeest,Canada goose,Female,9/25/2023,27,true
Krajan,Mazama americana,Red brocket,Trumpeter swan,Male,5/17/2023,6,true
Takari,Mustela nigripes,"Ferret, black-footed",Dusky rattlesnake,Male,7/24/2022,26,false
Anin,unavailable,Swallow (unidentified),"Puma, south american",Female,9/5/2023,13,false
Kořenov,Gorilla gorilla,"Gorilla, western lowland",White-throated toucan,Female,2/22/2023,6,true
Bordeaux,Macropus agilis,Jungle kangaroo,"Wallaby, euro",Female,8/11/2023,15,false
Gaoming,Dasyurus viverrinus,Native cat,"Stork, jabiru",Female,10/2/2022,8,false
Paidha,Canis mesomelas,Silver-backed jackal,American buffalo,Female,2/6/2023,29,true
Krasyliv,Manouria emys,"Tortoise, burmese brown mountain",Mandras tree shrew,Male,2/26/2024,18,false
Nanfeng,Macaca mulatta,Rhesus macaque,Water moccasin,Genderfluid,1/4/2023,7,false
Nice,Trichosurus vulpecula,Golden brush-tailed possum,Red lava crab,Female,3/28/2024,11,false
Pindorama,Microcebus murinus,"Lemur, lesser mouse",Prairie falcon,Male,8/30/2022,11,false
Chuanxi,Tapirus terrestris,"Tapir, brazilian",Galapagos tortoise,Male,10/22/2023,2,true
Puerto Colombia,Giraffe camelopardalis,Giraffe,Green vine snake,Bigender,3/23/2024,9,true
Hebu,Macropus eugenii,Tammar wallaby,Tayra,Female,3/1/2024,26,true
Jobabo,Dendrocitta vagabunda,Rufous tree pie,Civet (unidentified),Male,2/19/2023,4,false
Zharkent,Macropus fuliginosus,"Kangaroo, western grey",Dabchick,Female,11/28/2023,12,false
Kukur,Canis lupus lycaon,"Wolf, timber",Water legaan,Male,2/20/2023,14,false
Rashaant,Connochaetus taurinus,"Gnu, brindled",Black-eyed bulbul,Male,9/2/2023,3,false
San Francisco,Cygnus atratus,Black swan,Great white pelican,Female,6/15/2022,29,true
Kristiansand S,Castor canadensis,"Beaver, american",House crow,Female,7/25/2023,16,false
Carpentras,Ovis canadensis,American bighorn sheep,African clawless otter,Male,4/17/2024,7,true
Morohongō,Nyctanassa violacea,Yellow-crowned night heron,Alpaca,Male,7/13/2022,7,false
Cipinang,Varanus albigularis,White-throated monitor,Brown pelican,Male,10/16/2022,17,true
Thị Trấn Yên Phú,Phalacrocorax carbo,Large cormorant,"Bird, red-billed tropic",Female,2/21/2024,2,false
Dengyue,Laniaurius atrococcineus,"Gonolek, burchell's",Bent-toed gecko,Female,9/18/2022,16,true
Xiaohe,Vulpes vulpes,North American red fox,"Egret, great",Female,5/3/2023,28,false
Leština,Cathartes aura,"Vulture, turkey","Dunnart, fat-tailed",Male,6/7/2023,13,true
Memphis,Eunectes sp.,Anaconda (unidentified),Crab-eating fox,Male,11/3/2022,2,false
São Gonçalo do Amarante,Myotis lucifugus,Little brown bat,American marten,Female,2/28/2024,11,true
Detik Satu,Uraeginthus granatina,Violet-eared waxbill,Burrowing owl,Male,3/16/2023,28,true
Lesozavodsk,Merops nubicus,"Bee-eater, carmine",Richardson's ground squirrel,Male,7/27/2022,4,true
Jatimulyo,Ctenophorus ornatus,"Dragon, netted rock",Short-nosed bandicoot,Female,7/29/2023,25,true
Wenjī,Gymnorhina tibicen,"Magpie, black-backed",Boat-billed heron,Female,2/14/2023,4,false
Middelburg,Ara chloroptera,Green-winged macaw,"Lechwe, kafue flats",Male,3/19/2024,7,true
Sibucao,Hystrix cristata,African porcupine,"Bustard, kori",Female,8/7/2022,7,true
Nîmes,Callorhinus ursinus,Northern fur seal,"Partridge, coqui",Female,12/24/2023,20,true
Bašaid,Eutamias minimus,Least chipmunk,Huron,Genderfluid,12/28/2023,27,false
Manzini,Varanus salvator,Two-banded monitor,"Legaan, Monitor (unidentified)",Female,12/16/2023,20,false
Svetlograd,Uraeginthus granatina,"Waxbill, violet-eared","Eagle, pallas's fish",Female,11/16/2023,4,false
Shuanghejiedao,Eunectes sp.,Anaconda (unidentified),Chameleon (unidentified),Female,6/22/2023,4,true
Beicang,unavailable,Bird (unidentified),"Finch, common melba",Female,1/26/2023,18,false
Bin Yauri,Colaptes campestroides,Field flicker,"Stork, white-necked",Female,10/27/2023,13,false
Cipaku,Fulica cristata,"Coot, red-knobbed",Indian tree pie,Male,1/10/2023,12,true
Alkmaar,Dicrostonyx groenlandicus,Collared lemming,Vicuna,Female,8/5/2022,12,true
Orissaare,Phylurus milli,Barking gecko,"Possum, ring-tailed",Female,1/10/2024,6,true
Kyzylorda,Fratercula corniculata,"Puffin, horned",Black-faced kangaroo,Genderfluid,8/17/2023,21,false
Borovo,Bradypus tridactylus,"Sloth, pale-throated three-toed","Tortoise, burmese brown mountain",Male,11/2/2023,12,false
Brejo da Madre de Deus,Dendrocitta vagabunda,Indian tree pie,"Gecko, bent-toed",Male,2/6/2024,4,false
Bei,Macropus parryi,Whip-tailed wallaby,Common grenadier,Male,7/17/2022,26,true
Dayton,Bison bison,American bison,Gulls (unidentified),Male,12/18/2023,4,false
Linxia Chengguanzhen,Plegadis falcinellus,"Ibis, glossy",Red howler monkey,Female,5/15/2023,7,true
Libode,Zonotrichia capensis,Rufous-collared sparrow,"Rat, desert kangaroo",Female,9/17/2023,9,true
Bollnäs,Platalea leucordia,"Spoonbill, white","Wolf, common",Male,3/28/2024,29,true
Skwierzyna,Mabuya spilogaster,"Skink, african",Common goldeneye,Female,12/26/2023,10,true
Summerland,Phascogale tapoatafa,Brush-tailed phascogale,"Bee-eater, white-fronted",Female,12/1/2023,21,false
Niederwaldkirchen,Struthio camelus,Ostrich,"Polecat, african",Male,8/19/2023,30,true
Chợ Gạo,Anas punctata,"Teal, hottentot","Owl, white-browed",Female,12/14/2022,26,true
Jiworejo,Semnopithecus entellus,"Langur, common","Dove, ring",Female,8/30/2022,24,false
Thap Khlo,Dasyurus maculatus,Spotted-tailed quoll,Great horned owl,Female,10/17/2022,24,true
Libacao,Canis mesomelas,"Jackal, black-backed","Lizard, frilled",Male,7/31/2023,16,true
Kertahayu,Cebus nigrivittatus,Weeper capuchin,"Kangaroo, red",Female,6/24/2022,19,true
Gozdnica,Gazella granti,"Gazelle, grant's","Deer, black-tailed",Male,12/10/2022,13,false
Dongxi,Antidorcas marsupialis,Springbok,Ground legaan,Male,9/6/2022,20,true
Lingshan,Tiliqua scincoides,"Skink, blue-tongued",Mule deer,Male,2/7/2023,9,false
Wengaingo,Phoenicopterus ruber,"Flamingo, roseat",Old world fruit bat (unidentified),Male,7/12/2023,5,true
Kinalansan,Tayassu pecari,"Peccary, white-lipped","Wolf, common",Male,12/4/2023,7,true
Cachimayo,Crotalus adamanteus,"Rattlesnake, eastern diamondback",Manatee,Male,1/5/2024,14,false
Monte Santo de Minas,Pelecanus occidentalis,"Pelican, brown",Pacific gull,Female,5/16/2023,21,true
Sundsvall,Ovis ammon,"Sheep, red","Bee-eater, nubian",Male,8/10/2023,21,true
Masjed Soleymān,Spermophilus lateralis,"Squirrel, golden-mantled ground","Deer, spotted",Genderfluid,7/20/2023,9,true
Lille,Lasiodora parahybana,Salmon pink bird eater tarantula,Water legaan,Polygender,7/27/2022,17,false
Asembagus,Coluber constrictor,Racer snake,Little blue penguin,Female,1/31/2024,6,true
Morgados,Corvus albicollis,"Raven, cape","Parrot, hawk-headed",Female,4/18/2024,8,true
Moshkovo,Paroaria gularis,"Cardinal, red-capped","Fox, savanna",Male,7/13/2022,28,false
Chapimarca,Vanellus armatus,Blacksmith plover,Red-necked phalarope,Male,3/30/2024,29,true
Cabog,Equus hemionus,"Ass, asiatic wild","Screamer, crested",Male,11/24/2023,25,true
Marquard,Ctenophorus ornatus,Netted rock dragon,Honey badger,Female,12/18/2023,23,false
Xuchang,Hystrix indica,"Porcupine, indian","Cat, kaffir",Male,7/18/2022,4,false
Houk,Phalacrocorax carbo,Great cormorant,"Sheep, red",Genderfluid,10/8/2022,17,false
Bochov,Loris tardigratus,Slender loris,Long-crested hawk eagle,Female,11/29/2022,21,true
Một Ngàn,Columba palumbus,Ring dove,"Eagle, african fish",Female,1/11/2023,7,false
Zhenwen,Antilope cervicapra,Blackbuck,"Hoopoe, eurasian",Male,12/21/2023,8,false
Lérida,Redunca redunca,"Reedbuck, bohor",Cape cobra,Male,8/30/2022,21,true
Lawesigalagala Timur,Nannopterum harrisi,"Cormorant, flightless",Pronghorn,Female,8/18/2023,2,false
Washington,Fulica cristata,"Coot, red-knobbed",Turkey vulture,Male,7/17/2022,8,false
Masipi West,Zonotrichia capensis,Rufous-collared sparrow,"Glider, feathertail",Male,8/26/2022,13,true
New Shagunnu,Anitibyx armatus,Tawny eagle,"Flycatcher, tyrant",Male,8/26/2022,20,false
Tabunok,Ursus arctos,Grizzly bear,Eastern indigo snake,Male,7/26/2023,15,false
Jinhe,Martes americana,"Marten, american",Laughing dove,Male,12/3/2022,29,false
Longping,Zalophus californicus,"Lion, galapagos sea",Black-throated butcher bird,Female,12/22/2022,30,false
Huainan,Semnopithecus entellus,Common langur,"Sloth, two-toed",Genderfluid,12/4/2023,25,true
Biny Selo,Phascogale calura,Red-tailed wambenger,Jaguar,Female,7/24/2023,7,true
Ouro Sogui,Dusicyon thous,Common zorro,"Zebra, common",Male,11/29/2023,8,false
Jianqiao,Bos mutus,Yak,Galah,Female,6/16/2022,26,false
Dębnica Kaszubska,Cyrtodactylus louisiadensis,Bent-toed gecko,"Hornbill, southern ground",Female,5/12/2023,11,true
Figueira Castelo Rodrigo,Tayassu pecari,"Peccary, white-lipped","Fowl, helmeted guinea",Male,4/26/2023,25,true
Klos,Tringa glareola,Spotted wood sandpiper,Blue-footed booby,Female,3/22/2023,7,true
Guajiasi,Cordylus giganteus,Giant girdled lizard,Spur-winged goose,Female,4/14/2023,13,true
Bāglung,Ovis ammon,Argalis,Green vine snake,Female,10/30/2022,8,false
Adil Makmur,Pycnonotus nigricans,"Bulbul, african red-eyed",Southern lapwing,Genderqueer,12/27/2022,18,true
Mengcheng Chengguanzhen,Spheniscus mendiculus,"Penguin, galapagos",Northern phalarope,Male,1/24/2024,29,true
Damāvand,Haliaeetus leucoryphus,Pallas's fish eagle,"Nutcracker, clark's",Male,12/15/2023,22,true
Niterói,Merops bullockoides,"Bee-eater, white-fronted","Macaw, scarlet",Male,2/10/2024,21,false
Amor,Varanus komodensis,"Dragon, komodo","Egret, snowy",Female,7/9/2023,13,false
Tallinn,Rhea americana,"Rhea, common","Tortoise, galapagos",Male,2/26/2023,4,true
Brumado,Hystrix indica,"Porcupine, indian","Crab, red lava",Male,10/7/2022,2,false
Chengzhong,Naja haje,Egyptian cobra,"Ox, musk",Female,3/29/2023,14,false
Kasugai,Pycnonotus nigricans,"Bulbul, black-fronted",Sociable weaver,Male,9/2/2022,12,false
Inari,Ictonyx striatus,"Polecat, african",Chital,Female,11/26/2022,10,false
Sibreh,Ovis dalli stonei,Stone sheep,"Bulbul, black-eyed",Female,8/1/2023,22,false
Horodne,Francolinus coqui,"Francolin, coqui",Red-headed woodpecker,Male,6/27/2022,16,false
Kanbula,Dasyurus viverrinus,"Cat, native",Eurasian badger,Male,3/4/2024,21,true
Emmen,Eremophila alpestris,"Lark, horned",Manatee,Female,3/14/2024,29,true
Gōtsuchō,Tadorna tadorna,"Shelduck, european","Wildebeest, blue",Male,11/22/2023,22,true
Cupira,Bucephala clangula,"Goldeneye, common","Bat, little brown",Female,2/10/2024,9,true
Nanshi,Phalacrocorax varius,"Cormorant, pied",Two-banded monitor,Female,1/31/2023,8,false
Bauang,Odocoileus hemionus,Black-tailed deer,"Cat, ringtail",Genderfluid,2/21/2023,6,false
Harjamukti,Kobus defassa,Defassa waterbuck,Lesser flamingo,Male,1/8/2024,22,false
Sult,Ornithorhynchus anatinus,Platypus,"Kangaroo, eastern grey",Male,1/2/2024,20,true
Rassvet,Naja haje,"Cobra, egyptian","Eagle, bald",Female,3/30/2024,24,false
Zhonghe,Gyps fulvus,"Vulture, griffon","Nutcracker, clark's",Male,11/16/2022,21,true
Dafang,Pandon haliaetus,Osprey,"Squirrel, pine",Male,9/11/2023,27,true
Jiahe,Macaca nemestrina,"Macaque, pig-tailed","Dragon, komodo",Male,10/5/2023,4,false
Arroteia,Callorhinus ursinus,Northern fur seal,Cape cobra,Female,8/13/2022,8,false
Veiros,Choloepus hoffmani,Two-toed tree sloth,Cape Barren goose,Male,8/16/2023,24,false
T’azagyugh,Macropus rufogriseus,Bennett's wallaby,Hoary marmot,Male,10/7/2022,2,true
Akat Amnuai,Sagittarius serpentarius,"Bird, secretary",Greater blue-eared starling,Male,1/8/2023,19,false
Pasirnangka,Turtur chalcospilos,Emerald-spotted wood dove,"Kangaroo, jungle",Agender,4/16/2024,20,true
Hashaat,Psittacula krameri,"Parakeet, rose-ringed","Tinamou, elegant crested",Female,9/17/2022,1,true
Xuchang,Herpestes javanicus,"Mongoose, small indian","Pigeon, feral rock",Male,7/26/2023,27,true
Thị Trấn Quan Hóa,Anastomus oscitans,Asian openbill,Ground monitor (unidentified),Female,12/10/2022,9,false
Dayapan,Xerus sp.,African ground squirrel (unidentified),"Dragon, frilled",Genderfluid,6/20/2023,5,true
Maiwal,Elephas maximus bengalensis,Asian elephant,Steenbuck,Female,8/31/2022,1,true
Fort Portal,Mycteria leucocephala,Painted stork,"Deer, barasingha",Male,12/24/2023,21,false
Washington,Taxidea taxus,American badger,Swainson's francolin,Male,3/19/2023,3,false
Vitim,Lemur fulvus,"Lemur, brown",Genoveva,Female,7/8/2023,12,true
Lugang,Phaethon aethereus,"Bird, red-billed tropic","Pigeon, feral rock",Male,12/21/2022,2,true
Cikeusal,Suricata suricatta,Meerkat,Cereopsis goose,Male,9/22/2023,14,true
Kerrobert,Chlamydosaurus kingii,"Dragon, frilled","Goldeneye, common",Female,5/5/2023,14,true
Pojan,Phylurus milli,"Gecko, barking","Crow, pied",Female,10/13/2023,26,false
Nashville,Falco mexicanus,Prairie falcon,"Starling, cape",Female,9/6/2022,22,true
Tsaghkaber,Uraeginthus bengalus,Red-cheeked cordon bleu,"Cobra, egyptian",Male,1/19/2024,27,false
Rabāţ-e Sangī-ye Pā’īn,Snycerus caffer,African buffalo,"Crab, red lava",Male,4/30/2023,12,true
Iñapari,Madoqua kirkii,"Dik, kirk's dik","Jackal, silver-backed",Female,2/4/2023,22,true
Lancheng,Lorythaixoides concolor,"Bird, bare-faced go away","Leopard, indian",Male,12/31/2023,15,true
Seoul,Phacochoerus aethiopus,Warthog,Brush-tailed rat kangaroo,Male,4/1/2023,18,false
Caibiran,Felis caracal,Caracal,Seven-banded armadillo,Female,6/24/2022,3,false
Zhijiang,Damaliscus lunatus,Tsessebe,"Lion, mountain",Male,7/29/2022,4,true
